uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,n_agents,phase_sig,density,loss_max,loss_sum,loss_min,losses,prog_alone_sum,prog_together_sum,prog_together_min,stalled,blocked,dwell_alone,dwell_together,dedup_key
n2_fork_57642606,0,5,0,0,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r00|A>B,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.004467625431323,13.004467625431323,4.947073309556803,0,0,26,26,4f68ac99dc7b3f23
n2_fork_57642606,0,5,0,1,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r00|A>B|cs,2,2,00,0.0707355302630646,0.5944268356513698,0.5944268356513698,0.0,"0.00000,0.59443",13.004467625431323,12.410040789779952,4.352646473905433,0,0,26,26,12f0009f857103db
n2_fork_57642606,0,5,0,2,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r00|B>A|s,2,2,00,0.0707355302630646,0.44582012673852756,0.44582012673852756,0.0,"0.00000,0.44582",13.004467625431323,12.558647498692796,4.501253182818275,0,0,26,26,f9bacbb15cd5e634
n2_fork_57642606,0,5,0,3,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r01|A>B|s,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.004467625431323,13.004467625431323,4.947073309556803,0,0,26,26,25e41375e31d4602
n2_fork_57642606,0,5,0,4,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r10|B>A|s,2,2,00,0.0707355302630646,0.44582012673852756,0.44582012673852756,0.0,"0.00000,0.44582",13.004467625431323,12.558647498692796,4.501253182818275,0,0,26,26,3da5be5ad36f8750
n2_fork_57642606,0,5,0,5,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r02|B>A|cs,2,2,00,0.0707355302630646,6.66127842013355,11.366076926672797,4.7047985065392455,"6.66128,4.70480",13.004467625431323,1.6383906987585268,0.24227480301755744,1,1,26,0,ab12481cedfcd2bd
n2_fork_57642606,0,5,0,6,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r11|B>A,2,2,00,0.0707355302630646,0.8916402534770551,0.8916402534770551,0.0,"0.00000,0.89164",13.004467625431323,12.112827371954268,4.055433056079748,0,0,26,26,c55972c17a54f677
n2_fork_57642606,0,5,0,7,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r12|A>B|s,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.004467625431323,13.004467625431323,4.947073309556803,0,0,26,26,1b431edac7b6f79e
n2_fork_57642606,0,5,0,8,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r12|B>A|cs,2,2,00,0.0707355302630646,6.66127842013355,11.366076926672797,4.7047985065392455,"6.66128,4.70480",13.004467625431323,1.6383906987585268,0.24227480301755744,1,1,26,0,289166841b4223f2
n2_fork_57642606,0,5,0,9,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r21|B>A|cs,2,2,00,0.0707355302630646,0.842104683839441,1.5378331512737669,0.6957284674343258,"0.69573,0.84210",13.004467625431323,11.466634474157555,4.104968625717362,0,0,26,26,5d7d8a9b04f40b58
n2_fork_57642606,0,5,0,10,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r30|B>A|s,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.004467625431323,13.004467625431323,4.947073309556803,0,0,26,26,21cc9dccbaade7f8
n2_fork_57642606,0,5,0,11,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r13|A>B,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.004467625431323,13.004467625431323,4.947073309556803,0,0,26,26,819d9f9b9fd1f85c
n2_fork_57642606,0,5,0,12,"0,1","[[1.07239, -0.27196, -0.31499, 0.77871, 1.0, 0.0, 0.0, 0.0], [-1.07239, 0.27196, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-0.24552, -1.12067, 0.89677, 0.64507], [1.59042, -4.70617, 1.19561, 0.92968], [3.45375, -0.9786, 0.93974, 0.89682]]",r22|B>A,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.004467625431323,13.004467625431323,4.947073309556803,0,0,26,26,8f24f16abd61efd0
