uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,n_agents,phase_sig,density,loss_max,loss_sum,loss_min,losses,prog_alone_sum,prog_together_sum,prog_together_min,stalled,blocked,dwell_alone,dwell_together,dedup_key
n2_fork_f4f497ad,0,2,0,0,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r00|A>B,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.28053992758689,13.28053992758689,4.5755169632735315,0,0,9,9,1fd267b1f8e1e6be
n2_fork_f4f497ad,0,2,0,1,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r00|A>B|s,2,2,00,0.0707355302630646,0.0,-0.09946776007116398,-0.09946776007116398,"0.00000,-0.09947",13.28053992758689,13.380007687658054,4.6749847233446955,0,0,9,9,e0d5b95a41e3faba
n2_fork_f4f497ad,0,2,0,2,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r00|A>B|cs,2,2,00,0.0707355302630646,0.0,-0.14920164010674508,-0.14920164010674508,"0.00000,-0.14920",13.28053992758689,13.429741567693634,4.724718603380277,0,0,9,9,c24d3188b245b2cd
n2_fork_f4f497ad,0,2,0,3,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r00|B>A,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.28053992758689,13.28053992758689,4.5755169632735315,0,0,9,9,688631ce52d1b53b
n2_fork_f4f497ad,0,2,0,4,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r01|A>B|cs,2,2,00,0.0707355302630646,0.0,-1.193613120853965,-1.193613120853965,"0.00000,-1.19361",13.28053992758689,14.474153048440854,5.769130084127497,0,0,9,9,d63507a6e2af35da
n2_fork_f4f497ad,0,2,0,5,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r01|B>A|s,2,2,00,0.0707355302630646,0.0,-4.568374145090249,-4.568374145090249,"0.00000,-4.56837",13.28053992758689,17.84891407267714,8.705022964313358,0,0,9,18,0db16e9453d5ec04
n2_fork_f4f497ad,0,2,0,6,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r10|A>B,2,2,00,0.0707355302630646,0.0,-0.09946776007116398,-0.09946776007116398,"0.00000,-0.09947",13.28053992758689,13.380007687658054,4.6749847233446955,0,0,9,9,5361fe28e47eeb2e
n2_fork_f4f497ad,0,2,0,7,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r11|A>B,2,2,00,0.0707355302630646,0.0,-1.193613120853965,-1.193613120853965,"0.00000,-1.19361",13.28053992758689,14.474153048440854,5.769130084127497,0,0,9,9,b129540d6a1d0854
n2_fork_f4f497ad,0,2,0,8,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r11|B>A|s,2,2,00,0.0707355302630646,0.0,-1.193613120853965,-1.193613120853965,"0.00000,-1.19361",13.28053992758689,14.474153048440854,5.769130084127497,0,0,9,9,38a2bcfcd37b4c2f
n2_fork_f4f497ad,0,2,0,9,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r11|B>A|cs,2,2,00,0.0707355302630646,1.1440268677922916,-1.2406783792627154,-2.384705247055007,"1.14403,-2.38471",13.28053992758689,14.521218306849605,6.9602222103285385,0,0,9,18,99b2f4a8b30e7d49
n2_fork_f4f497ad,0,2,0,10,"0,1","[[-0.83004, 0.50204, -0.40498, -0.80374, 1.0, 0.0, 0.0, 0.0], [0.83004, -0.50204, -1.19014, -0.15349, 1.0, 0.0, 0.0, 0.0]]","[[-2.60108, -0.46979, 0.89677, 0.64507], [1.6419, -2.38729, 1.60403, 1.2673]]",r20|B>A|s,2,2,00,0.0707355302630646,0.0,0.0,0.0,"0.00000,0.00000",13.28053992758689,13.28053992758689,4.5755169632735315,0,0,9,9,e77549253d2be570
